C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
141 ;V* V605 Cas                        ;s*r;02 20 22.4632763112 +59 40 16.904099784;13.41    ;10.80    ;8.36     ;6.42     ;4.85     ;M2Iab                ;  73;   0
142 ;V* T Per                           ;s*r;02 19 21.8771659920 +58 57 40.345527636;13.40    ;10.78    ;8.45     ;6.58     ;4.94     ;M2Iab                ; 111;   0
143 ;* 10 Per                           ;s*b;02 25 16.0283450208 +56 36 35.354429280;5.95     ;6.56     ;6.26     ;5.93     ;5.74     ;B2Ia                 ; 248;   0
144 ;V* PR Per                          ;s*r;02 21 42.4097766240 +57 51 46.144950588;12.84    ;10.31    ;8.00     ;6.13     ;4.60     ;M1-Iab-Ib            ; 122;   0
145 ;HD 14956                           ;s*b;02 26 45.6955268424 +57 40 45.044622588;7.63     ;7.92     ;7.20     ;6.56     ;6.05     ;B1.5Ia               ; 154;   0
146 ;HD 15316                           ;sg*;02 29 58.5567374712 +57 49 14.566545840;8.42     ;8.00     ;7.23     ;6.52     ;5.84     ;A2Iab                ;  96;   0
147 ;HD 15497                           ;s*b;02 31 53.3760247896 +57 41 51.509327532;7.73     ;7.80     ;7.02     ;6.31     ;5.70     ;B6Ia                 ; 138;   0
148 ;HD 14433                           ;sg*;02 21 55.4354619696 +57 14 34.499997492;7.01     ;6.97     ;6.4800   ;5.79     ;6.7332   ;A1Ia                 ; 155;   0
149 ;HD 14535                           ;sg*;02 22 53.4977439936 +57 14 42.546478992;8.28     ;8.16     ;7.4550   ;6.72     ;7.0307   ;A2Ia                 ; 101;   0
150 ;V* V403 Per                        ;s*r;02 23 24.1101297168 +57 12 43.045313724;13.32    ;10.81    ;8.4020   ;6.67     ;5.21     ;M0Iab                ;  70;   0
151 ;V* V441 Per                        ;s*r;02 25 21.8607402192 +57 26 14.130487320;13.07    ;10.61    ;8.22     ;6.09     ;4.29     ;M3Iab                ;  86;   0
