C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
152 ;HD 17378                           ;sg*;02 49 30.7369299096 +57 05 03.548427576;7.65     ;7.14     ;6.26     ;5.44     ;4.68     ;A5Ia                 ; 184;   0
153 ;V* W Per                           ;s*r;02 50 37.8929743824 +56 59 00.287654892;14.80    ;12.24    ;9.62     ;6.99     ;4.75     ;M3Iab-M5I            ; 121;   0
154 ;* eta Per                          ;*  ;02 50 41.8099734665 +55 53 43.779721818;7.38     ;5.48     ;3.79     ;2.56     ;1.67     ;K3-Ib-IIa            ; 226;   0
155 ;* gam Per                          ;SB*;03 04 47.8201112829 +53 30 23.262605954;4.08     ;3.63     ;2.93     ;2.34     ;1.89     ;G9III+A2-III:        ; 225;   0
156 ;* del Per                          ;Be*;03 42 55.4928046977 +47 47 14.988257477;2.38     ;2.89     ;3.01     ;2.99     ;3.10     ;B5III                ; 328;   0
157 ;HD 25693                           ;** ;04 06 25.49311 +43 25 05.3556          ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G9V                  ;  49;   0
158 ;HD 188209                          ;s*b;19 51 59.0687638680 +47 01 38.419078944;4.61     ;5.55     ;5.63     ;5.54     ;5.64     ;O9.5Iab              ; 322;   0
159 ;* del Cyg                          ;PM*;19 44 58.4769226339 +45 07 50.932673095;2.75     ;2.85     ;2.87     ;2.88     ;2.90     ;B9.5IV               ; 303;   0
160 ;HD 203338                          ;s*r;21 19 15.6852148728 +58 37 24.624258456;7.09     ;7.09     ;5.75     ;4.26     ;2.93     ;M1Ibep               ; 123;   0
161 ;* nu. Cep                          ;sg*;21 45 26.9251364232 +61 07 14.900183018;4.94     ;4.81     ;4.29     ;3.79     ;3.35     ;A2Iae                ; 257;   1
162 ;* 9 Cep                            ;s*b;21 37 55.2241394424 +62 04 54.990376788;4.49     ;5.03     ;4.73     ;4.42     ;4.24     ;B2Ib                 ; 315;   0
163 ;HD 207198                          ;Y*?;21 44 53.2791389640 +62 27 38.048647248;5.61     ;6.25     ;5.94     ;5.66     ;5.49     ;O8.5II               ; 365;   0
164 ;* 19 Cep                           ;*  ;22 05 08.7897533088 +62 16 47.332569936;4.36     ;5.19     ;5.11     ;4.95     ;4.92     ;O9Ib                 ; 397;   0
165 ;V* VV Cep                          ;s*r;21 56 39.1414963149 +63 37 31.981636440;7.03     ;6.65     ;4.90     ;3.19     ;1.85     ;M2Ibep+B2?ep_sh      ; 466;   0
166 ;* ksi Cep B                        ;PM*;22 03 46.2171618624 +64 37 41.465301888;     ~   ;6.862    ;6.342    ;6.1      ;     ~   ;F8V                  ;  74;   0
167 ;* ksi Cep                          ;** ;22 03 47.45499 +64 37 40.7128          ;4.72     ;4.63     ;4.29     ;3.97     ;3.84     ;Am+F7/8V             ; 180;   0
168 ;* iot Cep                          ;PM*;22 49 40.8174918750 +66 12 01.458192633;5.50     ;4.60     ;3.54     ;2.69     ;2.19     ;K0-III               ; 257;   0
169 ;HD 10780                           ;BY*;01 47 44.8344358038 +63 51 09.011001993;6.84     ;6.44     ;5.63     ;4.99     ;4.60     ;K0V                  ; 384;   0
170 ;* eps Cas                          ;Be*;01 54 23.7340861680 +63 40 12.360238788;2.61     ;3.22     ;3.37     ;3.40     ;3.52     ;B3Vp_sh              ; 207;   0
171 ;V* V648 Cas                        ;s*r;02 51 03.9477562824 +57 51 19.923324444;14.78    ;12.11    ;9.38     ;6.83     ;4.76     ;M2Ia                 ;  66;   0
172 ;HD 19256                           ;PM*;03 08 25.7696020824 +57 00 46.507546728;9.139    ;     ~   ;     ~   ;6.3      ;     ~   ;G0IV                 ;  39;   0
173 ;HD 21447                           ;*  ;03 30 00.1828170168 +55 27 06.506069256;5.160    ;5.140    ;5.090    ;5.01     ;5.02     ;A1Va                 ; 147;   0
174 ;* 43 Per                           ;SB*;03 56 36.5200362336 +50 41 43.354331520;7.45     ;     ~   ;     ~   ;5.0      ;     ~   ;F5V                  ;  99;   0
175 ;* c Per                            ;Be*;04 08 39.6935695869 +47 42 45.038007366;3.45     ;4.00     ;4.03     ;3.91     ;3.93     ;B3Ve                 ; 395;   0
176 ;HD 191195                          ;PM*;20 06 13.8462530309 +53 09 56.474930241;     ~   ;6.24     ;     ~   ;5.6      ;     ~   ;F5V                  ;  93;   0
177 ;HD 197373                          ;PM*;20 40 17.8923782424 +60 30 18.953942688;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F6IV                 ;  93;   0
178 ;* alf Cep                          ;PM*;21 18 34.77233 +62 35 08.0681          ;2.770    ;2.680    ;2.460    ;2.22     ;2.11     ;A8Vn                 ; 374;   0
179 ;HD 206913                          ;PM*;21 42 40.3605473376 +63 43 16.943555496;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F5                   ;  31;   0
180 ;HD 218209                          ;PM*;23 05 06.0914711839 +68 25 01.432343968;8.21     ;8.13     ;7.48     ;6.94     ;6.57     ;G8                   ; 150;   0
181 ;HD 4132                            ;PM*;00 44 48.1007448528 +67 09 29.451705084;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F8                   ;  32;   0
182 ;HD 4295                            ;PM*;00 46 38.5057428888 +69 19 31.472585472;6.760    ;6.800    ;     ~   ;6.2      ;     ~   ;F3V                  ;  44;   0
183 ;HD 6840                            ;** ;01 10 50.7378601560 +67 46 48.475137540;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G0                   ;  85;   0
184 ;HD 17591                           ;PM*;02 52 22.8128151216 +63 24 35.255204532;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G0                   ;  36;   0
185 ;HD 18757                           ;PM*;03 04 09.6346411530 +61 42 20.959769812;     ~   ;7.25     ;     ~   ;6.2      ;     ~   ;G1.5V                ; 147;   0
186 ;V* V704 Cas                        ;s*r;03 07 40.5102354024 +60 29 22.123005540;14.30    ;11.68    ;8.90     ;6.54     ;4.73     ;M1Iab                ;  49;   0
187 ;HD 21389                           ;sg*;03 29 54.7436040912 +58 52 43.496880384;4.99     ;5.10     ;4.54     ;4.03     ;3.53     ;A0Ia                 ; 305;   0
188 ;HD 24431                           ;** ;03 55 38.4221692944 +52 38 28.747965948;6.50     ;7.11     ;6.74     ;6.36     ;6.10     ;O9III+B1.5V          ; 173;   0
189 ;HD 24421                           ;PM*;03 55 37.0794405144 +52 13 36.554359368;9.036    ;7.30     ;     ~   ;6.5      ;     ~   ;F8VmF1               ;  87;   0
190 ;* lam Per                          ;*  ;04 06 35.0425894267 +50 21 04.541423730;4.27     ;4.31     ;4.29     ;4.21     ;4.19     ;A0IVn                ; 116;   0
191 ;* mu. Per                          ;SB*;04 14 53.8635146524 +48 24 33.590334394;5.75     ;5.12     ;4.16     ;3.38     ;2.83     ;G0Ib                 ; 252;   0
192 ;HD 28005                           ;PM*;04 27 24.7042375981 +46 51 11.353739807;     ~   ;     ~   ;     ~   ;6.3      ;     ~   ;G0                   ; 113;   0
193 ;HD 181096                          ;PM*;19 16 51.3860558136 +46 59 56.774556420;     ~   ;6.44     ;     ~   ;5.7      ;     ~   ;F6IV:                ; 143;   0
194 ;* tet Cyg                          ;PM*;19 36 26.5330717650 +50 13 15.965003998;4.83     ;4.86     ;4.48     ;4.13     ;3.92     ;F3+V                 ; 361;   1
195 ;* 16 Cyg B                         ;PM*;19 41 51.9726777456 +50 31 03.089030916;7.07     ;6.86     ;6.20     ;5.76     ;5.42     ;G3V                  ; 949;   1
196 ;* 16 Cyg A                         ;** ;19 41 48.9534996168 +50 31 30.219536784;6.79     ;6.59     ;5.95     ;5.50     ;5.17     ;G1.5Vb               ; 814;   0
197 ;HD 184960                          ;PM*;19 34 19.7892769104 +51 14 11.827409604;     ~   ;6.21     ;     ~   ;5.4      ;     ~   ;F7V                  ; 171;   0
198 ;* tet Cep                          ;SB*;20 29 34.9052664336 +62 59 38.797205460;4.58     ;4.42     ;4.22     ;4.05     ;3.96     ;A7III                ; 161;   0
199 ;* eta Cep                          ;PM*;20 45 17.3751675120 +61 50 19.614231888;4.960    ;4.320    ;3.410    ;2.76     ;2.27     ;K0IV                 ; 461;   0
200 ;* 38 Cas                           ;SB*;01 31 13.7567170296 +70 15 52.559375868;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;F6V                  ;  71;   0
201 ;HD 9407                            ;PM*;01 34 33.2647932084 +68 56 53.289515638;     ~   ;7.21     ;     ~   ;6.1      ;     ~   ;G6.5V                ; 175;   0
202 ;HD 13579                           ;BY*;02 15 42.5538582899 +67 40 20.324902269;     ~   ;8.149    ;7.198    ;6.6      ;     ~   ;K2                   ; 121;   0
203 ;HD 21291                           ;s*b;03 29 04.1328896160 +59 56 25.201164588;4.40     ;4.63     ;4.22     ;3.84     ;3.46     ;B9Ia                 ; 298;   0
204 ;HD 22764                           ;*  ;03 42 42.7369929720 +59 58 09.802899408;9.32     ;7.54     ;5.78     ;4.46     ;3.44     ;K3.5IIIb+G           ;  62;   0
205 ;HD 25641                           ;PM*;04 07 12.1743372696 +56 44 15.670621968;10.477   ;     ~   ;     ~   ;6.6      ;     ~   ;K0IV                 ;  24;   0
206 ;HD 179958                          ;PM*;19 12 05.0254435095 +49 51 20.695487091;     ~   ;7.12     ;6.47     ;6.1      ;     ~   ;G2V                  ; 146;   0
207 ;HD 179957                          ;PM*;19 12 04.6790033015 +49 51 13.997831536;     ~   ;7.25     ;6.59     ;6.2      ;     ~   ;G3V                  ; 134;   0
208 ;HD 184423                          ;PM*;19 31 28.4104212216 +55 15 53.212368168;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;K2                   ;  18;   0
209 ;V* V1143 Cyg                       ;SB*;19 38 41.1829269072 +54 58 25.647010572;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;F6Va                 ; 229;   0
210 ;HD 185414                          ;PM*;19 35 55.5939261024 +56 59 02.081212980;     ~   ;7.35     ;     ~   ;6.3      ;     ~   ;G0                   ;  89;   0
211 ;HD 189276                          ;*  ;19 55 55.3786911120 +58 50 45.487067280;8.47     ;6.51     ;4.96     ;3.56     ;2.92     ;K4.5IIIa             ;  85;   0
212 ;* bet Cep                          ;bC*;21 28 39.5968513 +70 33 38.574681      ;2.05     ;3.01     ;3.23     ;3.33     ;3.55     ;B0.5IIIs             ; 756;   0
213 ;* 16 Cep                           ;PM*;21 59 14.9672073624 +73 10 47.622229320;     ~   ;     ~   ;     ~   ;4.8      ;     ~   ;F5V                  ;  98;   0
214 ;* 11 Cep                           ;PM*;21 41 55.3084514088 +71 18 41.267467908;     ~   ;     ~   ;     ~   ;3.9      ;     ~   ;K0.5III              ; 156;   0
215 ;* 31 Cep                           ;SB*;22 35 46.1342339520 +73 38 35.467997280;     ~   ;     ~   ;     ~   ;4.8      ;     ~   ;F2II                 ;  70;   0
216 ;HD 223778                          ;SB*;23 52 25.4091266714 +75 32 40.354906472;     ~   ;7.35     ;6.38     ;5.8      ;     ~   ;K3V                  ; 143;   0
217 ;HD 8730                            ;PM*;01 29 02.1058768272 +74 12 18.192899952;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G5                   ;  35;   0
218 ;* 48 Cas                           ;** ;02 01 57.4923122138 +70 54 25.080923232;4.76     ;4.70     ;4.54     ;4.36     ;4.28     ;A3Va                 ; 164;   0
219 ;* 54 Cas                           ;PM*;02 09 08.2608030227 +71 33 07.226830630;     ~   ;7.08     ;     ~   ;6.2      ;     ~   ;F8                   ;  59;   0
220 ;HD 20336                           ;Be*;03 19 59.2693390128 +65 39 08.285606820;3.93     ;4.70     ;4.85     ;4.88     ;5.01     ;B2.5Vn(e)            ; 226;   0
221 ;V* CQ Cam                          ;LP*;03 24 40.5567179496 +64 35 09.579866928;9.53     ;7.24     ;5.19     ;3.61     ;2.38     ;M0II                 ;  89;   0
222 ;HD 22399                           ;PM*;03 39 58.8155677512 +63 52 13.475581608;     ~   ;7.26     ;     ~   ;6.6      ;     ~   ;F5                   ;  48;   0
223 ;HD 24479                           ;Be*;03 57 25.4445994728 +63 04 20.149755960;4.78     ;4.94     ;5.04     ;4.97     ;5.05     ;B9IV                 ;  88;   0
224 ;HD 23621                           ;PM*;03 50 03.5171196624 +61 47 52.751802012;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;K0                   ;  14;   0
225 ;V* BD Cam                          ;Sy*;03 42 09.3255143544 +63 13 00.468590376;8.56     ;6.74     ;5.11     ;3.49     ;2.11     ;S3.5/2               ; 220;   0
226 ;HD 24409                           ;** ;03 56 11.5761910713 +59 38 31.279544318;     ~   ;     ~   ;     ~   ;6.1      ;     ~   ;G3V                  ;  60;   0
227 ;HD 25291                           ;*  ;04 04 27.1629402984 +59 09 19.832668272;6.10     ;5.63     ;5.12     ;4.62     ;4.24     ;F0II                 ; 115;   0
228 ;HD 24480                           ;*  ;03 57 08.2895322360 +61 06 31.986146592;     ~   ;6.68     ;5.05     ;6.37     ;     ~   ;K4III                ;  49;   0
229 ;* 2 Cam                            ;** ;04 39 58.0629273048 +53 28 22.484149788;     ~   ;     ~   ;     ~   ;6.70     ;     ~   ;A8V                  ; 103;   0
230 ;HD 30649                           ;PM*;04 51 43.5748348116 +45 50 02.818509833;7.59     ;7.55     ;6.97     ;6.45     ;6.10     ;F9VgG1mF7            ; 243;   0
231 ;* kap Cyg                          ;PM*;19 17 06.1683228165 +53 22 06.449800127;5.47     ;4.73     ;3.76     ;3.13     ;2.66     ;G9III                ; 215;   0
232 ;HD 184467                          ;SB*;19 31 07.9663576561 +58 35 09.604190291;7.95     ;7.47     ;6.60     ;6.13     ;     ~   ;K2V                  ; 170;   0
233 ;* rho Dra                          ;PM*;20 02 49.0708468414 +67 52 24.830813366;7.31     ;5.81     ;4.50     ;3.57     ;2.92     ;K2+IIICN1Ca1         ;  91;   0
234 ;HD 193664                          ;PM*;20 17 31.3281112685 +66 51 13.280468798;     ~   ;6.51     ;     ~   ;5.6      ;     ~   ;G3V                  ; 213;   0
235 ;* gam Cep                          ;SB*;23 39 20.9104133784 +77 37 56.510781384;5.190    ;4.250    ;     ~   ;2.6      ;     ~   ;K1III-IVCN1          ; 626;   1
236 ;HD 223731                          ;PM*;23 51 57.6356593728 +77 35 57.746790348;     ~   ;6.99     ;     ~   ;6.3      ;     ~   ;F5V                  ;  56;   0
237 ;HD 4075                            ;PM*;00 45 04.6775571287 +75 56 16.067482669;     ~   ;7.94     ;     ~   ;6.7      ;     ~   ;G8                   ;  62;   0
238 ;HD 2589                            ;PM*;00 30 55.0787717183 +77 01 09.857050884;     ~   ;7.05     ;     ~   ;5.7      ;     ~   ;K0IV                 ;  77;   0
239 ;V* BE Cam                          ;LP*;03 49 31.2775482648 +65 31 33.525822504;8.49     ;6.36     ;4.48     ;2.77     ;1.35     ;M2II                 ; 121;   0
240 ;* 4 Cam                            ;** ;04 48 00.2729226024 +56 45 25.836947712;     ~   ;5.519    ;5.275    ;5.1      ;5.08     ;A3m                  ;  85;   0
241 ;HD 33167                           ;PM*;05 10 42.9204964200 +46 57 43.456807404;     ~   ;     ~   ;     ~   ;5.4      ;     ~   ;F5V                  ;  84;   0
242 ;HD 180161                          ;BY*;19 12 11.3567117243 +57 40 19.126794551;     ~   ;7.83     ;     ~   ;6.5      ;     ~   ;K0                   ; 119;   0
243 ;* pi. Dra                          ;*  ;19 20 40.0914694319 +65 42 52.314729157;4.67     ;4.61     ;4.59     ;4.55     ;4.58     ;A0III                ; 103;   0
244 ;HD 204426                          ;PM*;21 22 41.6732261424 +76 33 18.200737872;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;G0                   ;  46;   0
245 ;HD 20507                           ;SB*;03 24 04.4887710096 +74 10 15.574639908;     ~   ;7.36     ;6.92     ;6.7      ;     ~   ;F5                   ;  53;   0
246 ;HD 27022                           ;*  ;04 20 40.3256358240 +65 08 25.589310792;6.55     ;6.08     ;5.27     ;4.63     ;4.20     ;G4III                ; 160;   0
247 ;* 9 Aur                            ;gD*;05 06 40.6306032888 +51 35 51.798998724;     ~   ;     ~   ;     ~   ;4.8      ;     ~   ;F2V                  ; 201;   0
248 ;HD 33580                           ;** ;05 14 01.7402654616 +51 25 50.584269000;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;F8                   ;  44;   0
249 ;* alf Aur                          ;SB*;05 16 41.35871 +45 59 52.7693          ;1.33     ;0.88     ;0.08     ;-0.52    ;-0.96    ;G3III:               ;1207;   0
250 ;* del Dra                          ;PM*;19 12 33.3013729052 +67 39 41.539165396;4.85     ;4.07     ;3.07     ;2.37     ;1.86     ;G9III                ; 295;   0
251 ;* sig Dra                          ;PM*;19 32 21.5902098601 +69 39 40.235805206;5.860    ;5.460    ;4.680    ;4.04     ;3.63     ;K0V                  ; 692;   0
252 ;HD 25173                           ;PM*;04 07 24.0248198260 +75 10 30.157905235;     ~   ;7.70     ;     ~   ;6.9      ;     ~   ;F8V                  ;  73;   0
253 ;HD 32715                           ;PM*;05 09 44.5061391600 +64 55 10.162849800;6.750    ;6.770    ;     ~   ;6.1      ;     ~   ;F3V:                 ;  45;   0
254 ;* alf Cam                          ;s*b;04 54 03.0113886719 +66 20 33.633625509;3.47     ;4.34     ;4.29     ;4.18     ;4.18     ;O9Ia                 ; 675;   1
255 ;HD 31675                           ;PM*;05 02 50.4383043673 +66 49 22.701831787;     ~   ;6.67     ;     ~   ;5.9      ;     ~   ;F6V:                 ;  52;   0
256 ;* bet Cam                          ;*  ;05 03 25.0910670105 +60 26 32.083933247;5.57     ;4.95     ;4.02     ;3.33     ;2.86     ;G1Ib                 ; 190;   0
257 ;V* R Aur                           ;Mi*;05 17 17.6915798904 +53 35 10.031931312;     ~   ;10.82    ;10.04    ;6.12     ;     ~   ;M6.5-8.5e            ; 240;   0
258 ;* tau Dra                          ;PM*;19 15 32.9853001560 +73 21 19.878315048;7.15     ;5.70     ;4.45     ;3.55     ;2.97     ;K2+IIIbCN1           ; 132;   0
259 ;HD 175305                          ;RG*;18 47 06.4416868934 +74 43 31.451436187;8.07     ;7.93     ;7.18     ;6.52     ;6.03     ;G5III                ; 241;   0
260 ;* 74 Dra                           ;PM*;20 29 27.5631080784 +81 05 28.594098132;     ~   ;6.88     ;     ~   ;5.4      ;     ~   ;K0II                 ;  65;   0
261 ;HD 29329                           ;PM*;04 46 00.5766465576 +76 36 39.759160824;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;F7V                  ;  59;   0
262 ;HD 34575                           ;PM*;05 22 19.7660139286 +59 16 40.488603010;     ~   ;7.82     ;     ~   ;6.6      ;     ~   ;K0                   ;  86;   0
263 ;* 18 Cam                           ;PM*;05 32 33.8003308632 +57 13 15.854680416;7.150    ;7.040    ;     ~   ;6.1      ;     ~   ;F8V                  ;  94;   0
264 ;HD 37394                           ;BY*;05 41 20.3356800431 +53 28 51.808818686;7.58     ;7.07     ;6.23     ;5.54     ;5.11     ;K0V                  ; 365;   0
265 ;HD 37693                           ;PM*;05 43 26.8484911992 +52 29 19.611442680;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G0                   ;  38;   0
266 ;HD 167042                          ;PM*;18 10 31.6398993768 +54 17 11.592196980;     ~   ;6.89     ;     ~   ;5.4      ;     ~   ;K1III                ; 174;   1
267 ;* 36 Dra                           ;PM*;18 13 53.8328065738 +64 23 50.225760192;     ~   ;5.407    ;4.987    ;4.8      ;     ~   ;F5V                  ; 215;   0
268 ;* chi Dra                          ;SB*;18 21 03.38255 +72 43 58.2518          ;4.010    ;4.070    ;3.580    ;3.14     ;2.83     ;F7V                  ; 420;   1
269 ;* alf UMi                          ;cC*;02 31 49.09456 +89 15 50.7923          ;3.00     ;2.62     ;2.02     ;1.53     ;1.22     ;F8Ib                 ; 716;   2
