C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
99  ;* eps Cep                          ;SB*;22 15 02.1972987635 +57 02 36.846735569; 423.159 52.691     ;38.1598   ;-4.70      ;-0.000016   ;-4.70      ;     ~   ;4.47     ;     ~   ;4.0      ;     ~   ;F0V(Sr)              
100 ;HD 210855                          ;PM*;22 11 48.7670966976 +56 50 21.684542208;236.552 129.061     ;26.4981   ;-20.58     ;-0.000069   ;-20.58     ;     ~   ;5.75     ;     ~   ;4.9      ;     ~   ;F8V                  
101 ;HD 215588                          ;PM*;22 45 03.6305507712 +58 08 49.388375796;-62.695 -136.045    ;28.3445   ;-10.177    ;-0.000034   ;-10.18     ;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;F5                   
102 ;HD 221354                          ;PM*;23 31 22.2087431778 +59 09 55.867801045;1106.442 113.402    ;59.3670   ;-25.053    ;-0.000084   ;-25.05     ;     ~   ;7.57     ;     ~   ;6.2      ;     ~   ;K0V                  
103 ;V* PZ Cas                          ;s*r;23 44 03.2814215136 +61 47 22.190200476;  -4.004 -2.003     ;0.3554    ;-51.35     ;-0.000171   ;-51.35     ;12.80    ;11.48    ;8.90     ;6.08     ;3.90     ;M3Ia                 
104 ;* bet Cas                          ;dS*;00 09 10.68518 +59 08 59.2120          ; 523.50 -179.77     ;59.58     ;4.30       ;0.000014    ;4.30       ;2.73     ;2.61     ;2.27     ;1.97     ;1.77     ;F2III                
105 ;HD 1697                            ;PM*;00 21 41.8956210816 +61 41 30.413754096;155.766 -35.062     ;18.1983   ;-25.03     ;-0.000083   ;-25.03     ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F8                   
106 ;HD 5015                            ;PM*;00 53 04.1964421920 +61 07 26.299289856;-68.298 169.435     ;52.9017   ;20.682     ;0.000069    ;20.68      ;5.43     ;5.34     ;4.80     ;4.32     ;4.02     ;F9V                  
107 ;* gam Cas                          ;HXB;00 56 42.5310945 +60 43 00.264089      ;    25.17 -3.92     ;5.94      ;-6.8       ;-0.000023   ;-6.80      ;1.18     ;2.29     ;2.39     ;2.32     ;2.40     ;B0.5IVpe             
108 ;V* V466 Cas                        ;s*r;01 19 53.6180547504 +58 18 30.745534716;  -1.730 -0.780     ;0.3102    ;-29.670    ;-0.000099   ;-29.67     ;13.04    ;10.74    ;8.62     ;6.86     ;5.44     ;M0.5Ib               
109 ;HD 8272                            ;** ;01 23 21.41971 +58 08 34.7787          ;  133.35 -90.54     ;17.00     ;7.00       ;0.000023    ;7.00       ;6.780    ;6.78     ;6.35     ;6.1      ;     ~   ;F4V                  
