C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
110 ;* phi Cas                          ;s*y;01 20 04.9164665856 +58 13 53.807643876;  -1.479 -1.231     ;0.2142    ;-18.90     ;-0.000063   ;-18.90     ;6.15     ;5.66     ;4.98     ;4.34     ;3.78     ;F0Ia                 
111 ;V* XX Per                          ;s*r;02 03 09.3585397752 +55 13 56.622913212;  -1.263 -1.819     ;0.398     ;-22.73     ;-0.000076   ;-22.73     ;11.66    ;10.34    ;8.20     ;6.02     ;4.19     ;M4Ib+                
112 ;HD 13403                           ;PM*;02 12 56.0619979772 +57 12 16.187053375;267.496 -216.355    ;24.4009   ;-31.240    ;-0.000104   ;-31.24     ;7.79     ;7.66     ;7.00     ;6.44     ;6.05     ;G3V                  
113 ;V* KK Per                          ;s*r;02 10 15.7846748496 +56 33 32.663347416;  -0.237 -0.952     ;0.4349    ;-41.7      ;-0.000139   ;-41.70     ;12.32    ;9.96     ;7.74     ;5.86     ;4.29     ;M2Iab-Ib             
114 ;HD 14322                           ;s*b;02 20 42.9186920184 +55 54 32.680603404;  -0.581 -1.365     ;0.4022    ;-33.4      ;-0.000111   ;-33.40     ;6.87     ;7.16     ;6.85     ;6.44     ;6.22     ;B8Iab                
115 ;* i Per                            ;sg*;02 22 21.4343107056 +55 50 44.350353276;   0.640 -1.692     ;0.7852    ;-18.7      ;-0.000062   ;-18.70     ;5.43     ;5.54     ;5.17     ;4.79     ;4.47     ;A1Ia                 
116 ;HD 13854                           ;s*b;02 16 51.7162480872 +57 03 18.882144756;  -0.612 -1.116     ;0.429     ;-44.60     ;-0.000149   ;-44.60     ;6.10     ;6.76     ;6.48     ;6.14     ;5.95     ;B1Iab                
117 ;* tau Per                          ;SB*;02 54 15.4777208304 +52 45 44.882735292;  -8.311 -2.580     ;12.3726   ;9.83       ;0.000033    ;9.83       ;5.17     ;4.71     ;3.96     ;3.33     ;2.89     ;G8III+A7V            
118 ;* iot Per                          ;PM*;03 09 04.0193012009 +49 36 47.802053343;1262.193 -91.083    ;94.5412   ;49.461     ;0.000165    ;49.47      ;4.76     ;4.64     ;     ~   ;3.7      ;     ~   ;G0V                  
119 ;HD 20675                           ;PM*;03 21 52.5329743680 +49 04 15.257802576;181.309 -63.089     ;22.7733   ;23.60      ;0.000079    ;23.60      ;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F6V                  
120 ;* 36 Per                           ;PM*;03 32 26.2592647368 +46 03 24.701606568;-53.125 -74.830     ;27.0579   ;-49.0      ;-0.000163   ;-49.00     ;5.71     ;5.73     ;5.32     ;4.91     ;4.69     ;F6III                
121 ;* omi02 Cyg                        ;SB*;20 15 28.3242122880 +47 42 51.213932496;   0.180 -2.319     ;3.2558    ;-14.4      ;-0.000048   ;-14.40     ;6.54     ;5.50     ;3.98     ;2.78     ;1.86     ;K7Ib-II+B1V          
122 ;HD 198387                          ;PM*;20 47 52.9809345648 +52 24 25.744658508;78.891 -156.837     ;24.0818   ;-42.52     ;-0.000142   ;-42.52     ;     ~   ;7.16     ;     ~   ;5.7      ;     ~   ;K0V:                 
123 ;HD 199191                          ;PM*;20 53 18.3142112904 +54 31 05.161984500; 20.768 178.610     ;6.8153    ;-197.22    ;-0.000658   ;-197.16    ;8.69     ;8.08     ;     ~   ;6.6      ;     ~   ;K0III                
124 ;HD 204231                          ;PM*;21 25 03.3808037904 +58 05 05.838460440;127.955 105.100     ;11.7564   ;-41.3      ;-0.000138   ;-41.30     ;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G0                   
125 ;* mu. Cep                          ;s*r;21 43 30.4595558543 +58 46 48.165937434;   3.439 -4.108     ;0.1190    ;23.00      ;0.000077    ;23.00      ;8.85     ;6.43     ;4.08     ;1.98     ;0.22     ;M2-Ia                
126 ;HD 210905                          ;PM*;22 11 56.8907545680 +59 05 04.489307052; 130.651 79.944     ;8.3854    ;-30.230    ;-0.000101   ;-30.23     ;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;K0III                
127 ;* lam Cep                          ;s*b;22 11 30.5765111040 +59 24 52.154264880; -7.020 -10.812     ;1.1761    ;-75.10     ;-0.000250   ;-75.09     ;4.55     ;5.29     ;5.05     ;4.77     ;4.62     ;O6.5I(n)fp           
128 ;HD 216380                          ;** ;22 51 22.62911 +61 41 48.2545          ;    98.08 40.54     ;13.75     ;-0.80      ;-0.000003   ;-0.80      ;     ~   ;     ~   ;     ~   ;6.75     ;     ~   ;G8III-IV+G2IV        
129 ;V* V816 Cas                        ;LP*;23 42 20.9518695888 +64 30 55.415090016;  13.102 -4.079     ;2.8897    ;-4.30      ;-0.000014   ;-4.30      ;10.58    ;8.46     ;6.58     ;4.93     ;3.60     ;M2III                
130 ;* 6 Cas                            ;** ;23 48 50.17052 +62 12 52.2577          ;    -3.57 -1.57     ;0.53      ;-42.30     ;-0.000141   ;-42.30     ;     ~   ;     ~   ;     ~   ;6.60     ;     ~   ;A2.5(I)+O9.8II       
131 ;HD 1613                            ;s*r;00 20 43.5630912360 +61 52 46.543163376;  -1.455 -0.385     ;0.8649    ;-29.74     ;-0.000099   ;-29.74     ;11.08    ;8.97     ;6.95     ;5.33     ;4.03     ;M1Iab                
132 ;HD 225094                          ;s*b;00 03 25.7156345788 +63 38 25.861065311;  -4.421 -0.519     ;0.8162    ;-41.30     ;-0.000138   ;-41.30     ;6.01     ;6.56     ;6.22     ;5.90     ;5.67     ;B2.9Iab              
133 ;* kap Cas                          ;s*b;00 32 59.9918836206 +62 55 54.413126128;   3.126 -1.835     ;1.0644    ;0.30       ;0.000001    ;0.30       ;3.50     ;4.30     ;4.16     ;4.02     ;3.96     ;BC0.7Ia              
134 ;HD 4841                            ;Em*;00 51 25.9269354192 +63 46 52.209157764;  -2.470 -0.756     ;0.3231    ;-26.00     ;-0.000087   ;-26.00     ;7.13     ;7.43     ;6.86     ;6.28     ;5.90     ;B5Ia                 
135 ;HD 4817                            ;** ;00 51 16.3831719552 +61 48 19.779990984;  -2.068 -2.268     ;0.9903    ;-20.438    ;-0.000068   ;-20.44     ;9.88     ;8.08     ;6.18     ;4.73     ;3.64     ;K2.5Ib-IICN-1        
136 ;* del Cas                          ;EB*;01 25 48.9514709 +60 14 07.022507      ;  296.57 -49.22     ;32.81     ;6.70       ;0.000022    ;6.70       ;2.930    ;2.810    ;2.680    ;2.53     ;2.44     ;A5IV                 
137 ;* 5 Per                            ;s*b;02 11 29.1934233120 +57 38 43.964680956;  -0.653 -0.765     ;0.5243    ;-35.0      ;-0.000117   ;-35.00     ;6.23     ;6.68     ;6.35     ;6.02     ;5.75     ;B5Ia                 
138 ;HD 236947                          ;*  ;02 07 12.0545484072 +58 47 15.904117248;  -1.454 -0.634     ;0.387     ;-34.53     ;-0.000115   ;-34.53     ;13.11    ;10.82    ;8.63     ;6.78     ;5.26     ;M2III                
139 ;HD 12953                           ;sg*;02 08 40.5790963584 +58 25 24.970714608;  -1.133 -0.704     ;0.3841    ;-33.1      ;-0.000110   ;-33.10     ;6.28     ;6.29     ;5.68     ;5.09     ;4.59     ;A1Ia                 
140 ;HD 13476                           ;sg*;02 13 41.6105031504 +58 33 38.107279260;  -0.794 -0.868     ;0.3967    ;-39.6      ;-0.000132   ;-39.60     ;7.26     ;7.04     ;6.43     ;5.89     ;5.40     ;A2Iab                
141 ;V* V605 Cas                        ;s*r;02 20 22.4632763112 +59 40 16.904099784;  -0.709 -0.514     ;0.3308    ;-34.7      ;-0.000116   ;-34.70     ;13.41    ;10.80    ;8.36     ;6.42     ;4.85     ;M2Iab                
142 ;V* T Per                           ;s*r;02 19 21.8771659920 +58 57 40.345527636;  -1.237 -0.186     ;0.4119    ;-46.2      ;-0.000154   ;-46.20     ;13.40    ;10.78    ;8.45     ;6.58     ;4.94     ;M2Iab                
143 ;* 10 Per                           ;s*b;02 25 16.0283450208 +56 36 35.354429280;  -0.508 -1.182     ;0.4424    ;-43.1      ;-0.000144   ;-43.10     ;5.95     ;6.56     ;6.26     ;5.93     ;5.74     ;B2Ia                 
144 ;V* PR Per                          ;s*r;02 21 42.4097766240 +57 51 46.144950588;  -0.857 -1.059     ;0.3621    ;-45.9      ;-0.000153   ;-45.90     ;12.84    ;10.31    ;8.00     ;6.13     ;4.60     ;M1-Iab-Ib            
145 ;HD 14956                           ;s*b;02 26 45.6955268424 +57 40 45.044622588;  -0.339 -1.028     ;0.3395    ;-36.9      ;-0.000123   ;-36.90     ;7.63     ;7.92     ;7.20     ;6.56     ;6.05     ;B1.5Ia               
146 ;HD 15316                           ;sg*;02 29 58.5567374712 +57 49 14.566545840;  -0.390 -0.901     ;0.3901    ;-49.9      ;-0.000166   ;-49.90     ;8.42     ;8.00     ;7.23     ;6.52     ;5.84     ;A2Iab                
147 ;HD 15497                           ;s*b;02 31 53.3760247896 +57 41 51.509327532;  -0.322 -1.019     ;0.3705    ;-44.2      ;-0.000147   ;-44.20     ;7.73     ;7.80     ;7.02     ;6.31     ;5.70     ;B6Ia                 
148 ;HD 14433                           ;sg*;02 21 55.4354619696 +57 14 34.499997492;  -0.581 -1.220     ;0.4509    ;-47.9      ;-0.000160   ;-47.90     ;7.01     ;6.97     ;6.4800   ;5.79     ;6.7332   ;A1Ia                 
149 ;HD 14535                           ;sg*;02 22 53.4977439936 +57 14 42.546478992;  -0.472 -0.923     ;0.3834    ;-45.20     ;-0.000151   ;-45.20     ;8.28     ;8.16     ;7.4550   ;6.72     ;7.0307   ;A2Ia                 
150 ;V* V403 Per                        ;s*r;02 23 24.1101297168 +57 12 43.045313724;  -0.460 -0.992     ;0.4216    ;-45.07     ;-0.000150   ;-45.07     ;13.32    ;10.81    ;8.4020   ;6.67     ;5.21     ;M0Iab                
151 ;V* V441 Per                        ;s*r;02 25 21.8607402192 +57 26 14.130487320;  -0.678 -1.094     ;0.4434    ;-44.2      ;-0.000147   ;-44.20     ;13.07    ;10.61    ;8.22     ;6.09     ;4.29     ;M3Iab                
152 ;HD 17378                           ;sg*;02 49 30.7369299096 +57 05 03.548427576;   0.596 -1.383     ;0.433     ;-40.1      ;-0.000134   ;-40.10     ;7.65     ;7.14     ;6.26     ;5.44     ;4.68     ;A5Ia                 
153 ;V* W Per                           ;s*r;02 50 37.8929743824 +56 59 00.287654892;   0.053 -1.357     ;0.5306    ;-42.2      ;-0.000141   ;-42.20     ;14.80    ;12.24    ;9.62     ;6.99     ;4.75     ;M3Iab-M5I            
154 ;* eta Per                          ;*  ;02 50 41.8099734665 +55 53 43.779721818; 16.346 -13.518     ;3.2657    ;-1.784     ;-0.000006   ;-1.78      ;7.38     ;5.48     ;3.79     ;2.56     ;1.67     ;K3-Ib-IIa            
155 ;* gam Per                          ;SB*;03 04 47.8201112829 +53 30 23.262605954; -14.194 -8.684     ;14.1252   ;3.13       ;0.000010    ;3.13       ;4.08     ;3.63     ;2.93     ;2.34     ;1.89     ;G9III+A2-III:        
156 ;* del Per                          ;Be*;03 42 55.4928046977 +47 47 14.988257477; 29.038 -23.365     ;6.2435    ;4.00       ;0.000013    ;4.00       ;2.38     ;2.89     ;3.01     ;2.99     ;3.10     ;B5III                
157 ;HD 25693                           ;** ;04 06 25.49311 +43 25 05.3556          ; -22.37 -201.06     ;14.45     ;-66.626    ;-0.000222   ;-66.62     ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G9V                  
158 ;HD 188209                          ;s*b;19 51 59.0687638680 +47 01 38.419078944;  -3.559 -4.001     ;0.5038    ;-18.78     ;-0.000063   ;-18.78     ;4.61     ;5.55     ;5.63     ;5.54     ;5.64     ;O9.5Iab              
159 ;* del Cyg                          ;PM*;19 44 58.4769226339 +45 07 50.932673095;  41.870 47.298     ;21.1474   ;-23.60     ;-0.000079   ;-23.60     ;2.75     ;2.85     ;2.87     ;2.88     ;2.90     ;B9.5IV               
160 ;HD 203338                          ;s*r;21 19 15.6852148728 +58 37 24.624258456;  -1.893 -4.751     ;0.5546    ;-13.11     ;-0.000044   ;-13.11     ;7.09     ;7.09     ;5.75     ;4.26     ;2.93     ;M1Ibep               
161 ;* nu. Cep                          ;sg*;21 45 26.9251364232 +61 07 14.900183018;  -3.545 -2.025     ;0.9321    ;-18.26     ;-0.000061   ;-18.26     ;4.94     ;4.81     ;4.29     ;3.79     ;3.35     ;A2Iae                
162 ;* 9 Cep                            ;s*b;21 37 55.2241394424 +62 04 54.990376788;  -2.007 -4.293     ;1.0251    ;-14.14     ;-0.000047   ;-14.14     ;4.49     ;5.03     ;4.73     ;4.42     ;4.24     ;B2Ib                 
163 ;HD 207198                          ;Y*?;21 44 53.2791389640 +62 27 38.048647248;  -3.576 -1.394     ;0.9978    ;-17.60     ;-0.000059   ;-17.60     ;5.61     ;6.25     ;5.94     ;5.66     ;5.49     ;O8.5II               
164 ;* 19 Cep                           ;*  ;22 05 08.7897533088 +62 16 47.332569936;  -1.595 -3.026     ;1.0221    ;-12.30     ;-0.000041   ;-12.30     ;4.36     ;5.19     ;5.11     ;4.95     ;4.92     ;O9Ib                 
165 ;V* VV Cep                          ;s*r;21 56 39.1414963149 +63 37 31.981636440;  -1.066 -0.425     ;1.0033    ;-18.7      ;-0.000062   ;-18.70     ;7.03     ;6.65     ;4.90     ;3.19     ;1.85     ;M2Ibep+B2?ep_sh      
166 ;* ksi Cep B                        ;PM*;22 03 46.2171618624 +64 37 41.465301888; 202.094 81.933     ;32.1835   ;-6.2       ;-0.000021   ;-6.20      ;     ~   ;6.862    ;6.342    ;6.1      ;     ~   ;F8V                  
167 ;* ksi Cep                          ;** ;22 03 47.45499 +64 37 40.7128          ;   215.46 91.06     ;33.79     ;-10.74     ;-0.000036   ;-10.74     ;4.72     ;4.63     ;4.29     ;3.97     ;3.84     ;Am+F7/8V             
168 ;* iot Cep                          ;PM*;22 49 40.8174918750 +66 12 01.458192633;-65.947 -124.967    ;27.2869   ;-12.763    ;-0.000043   ;-12.76     ;5.50     ;4.60     ;3.54     ;2.69     ;2.19     ;K0-III               
169 ;HD 10780                           ;BY*;01 47 44.8344358038 +63 51 09.011001993;581.684 -246.462    ;99.5902   ;2.840      ;0.000009    ;2.84       ;6.84     ;6.44     ;5.63     ;4.99     ;4.60     ;K0V                  
170 ;* eps Cas                          ;Be*;01 54 23.7340861680 +63 40 12.360238788; 29.587 -18.387     ;7.0037    ;-8.30      ;-0.000028   ;-8.30      ;2.61     ;3.22     ;3.37     ;3.40     ;3.52     ;B3Vp_sh              
171 ;V* V648 Cas                        ;s*r;02 51 03.9477562824 +57 51 19.923324444;   0.161 -1.230     ;0.4749    ;-38.28     ;-0.000128   ;-38.28     ;14.78    ;12.11    ;9.38     ;6.83     ;4.76     ;M2Ia                 
172 ;HD 19256                           ;PM*;03 08 25.7696020824 +57 00 46.507546728;130.091 -107.834    ;30.8296   ;3.887      ;0.000013    ;3.89       ;9.139    ;     ~   ;     ~   ;6.3      ;     ~   ;G0IV                 
173 ;HD 21447                           ;*  ;03 30 00.1828170168 +55 27 06.506069256;-45.895 -12.056     ;16.7393   ;-3.75      ;-0.000013   ;-3.75      ;5.160    ;5.140    ;5.090    ;5.01     ;5.02     ;A1Va                 
174 ;* 43 Per                           ;SB*;03 56 36.5200362336 +50 41 43.354331520;92.334 -129.655     ;26.2170   ;39.10      ;0.000130    ;39.10      ;7.45     ;     ~   ;     ~   ;5.0      ;     ~   ;F5V                  
175 ;* c Per                            ;Be*;04 08 39.6935695869 +47 42 45.038007366; 21.568 -32.381     ;6.3756    ;0.8        ;0.000003    ;0.80       ;3.45     ;4.00     ;4.03     ;3.91     ;3.93     ;B3Ve                 
176 ;HD 191195                          ;PM*;20 06 13.8462530309 +53 09 56.474930241;213.136 255.046     ;27.0560   ;-42.386    ;-0.000141   ;-42.38     ;     ~   ;6.24     ;     ~   ;5.6      ;     ~   ;F5V                  
177 ;HD 197373                          ;PM*;20 40 17.8923782424 +60 30 18.953942688; 12.766 185.976     ;30.0566   ;-13.74     ;-0.000046   ;-13.74     ;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F6IV                 
178 ;* alf Cep                          ;PM*;21 18 34.77233 +62 35 08.0681          ;   150.55 49.09     ;66.50     ;-15.80     ;-0.000053   ;-15.80     ;2.770    ;2.680    ;2.460    ;2.22     ;2.11     ;A8Vn                 
179 ;HD 206913                          ;PM*;21 42 40.3605473376 +63 43 16.943555496;-150.132 -78.607    ;27.9515   ;-25.73     ;-0.000086   ;-25.73     ;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F5                   
180 ;HD 218209                          ;PM*;23 05 06.0914711839 +68 25 01.432343968;592.313 162.919     ;33.7745   ;-15.869    ;-0.000053   ;-15.87     ;8.21     ;8.13     ;7.48     ;6.94     ;6.57     ;G8                   
181 ;HD 4132                            ;PM*;00 44 48.1007448528 +67 09 29.451705084;217.219 -57.709     ;22.0753   ;8.57       ;0.000029    ;8.57       ;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F8                   
182 ;HD 4295                            ;PM*;00 46 38.5057428888 +69 19 31.472585472; 166.798 15.576     ;24.1865   ;-13.97     ;-0.000047   ;-13.97     ;6.760    ;6.800    ;     ~   ;6.2      ;     ~   ;F3V                  
183 ;HD 6840                            ;** ;01 10 50.7378601560 +67 46 48.475137540; 248.361 15.278     ;16.9236   ;-7.11      ;-0.000024   ;-7.11      ;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G0                   
184 ;HD 17591                           ;PM*;02 52 22.8128151216 +63 24 35.255204532;177.633 -111.734    ;33.3407   ;-10.17     ;-0.000034   ;-10.17     ;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G0                   
185 ;HD 18757                           ;PM*;03 04 09.6346411530 +61 42 20.959769812;723.241 -691.734    ;42.4587   ;-1.9560    ;-0.000007   ;-1.96      ;     ~   ;7.25     ;     ~   ;6.2      ;     ~   ;G1.5V                
186 ;V* V704 Cas                        ;s*r;03 07 40.5102354024 +60 29 22.123005540;    2.271 0.056     ;0.4366    ;-71.56     ;-0.000239   ;-71.55     ;14.30    ;11.68    ;8.90     ;6.54     ;4.73     ;M1Iab                
187 ;HD 21389                           ;sg*;03 29 54.7436040912 +58 52 43.496880384;  -2.247 -0.657     ;0.9303    ;-4.91      ;-0.000016   ;-4.91      ;4.99     ;5.10     ;4.54     ;4.03     ;3.53     ;A0Ia                 
188 ;HD 24431                           ;** ;03 55 38.4221692944 +52 38 28.747965948;  -1.766 -0.052     ;1.0377    ;-4         ;-0.000013   ;-4.00      ;6.50     ;7.11     ;6.74     ;6.36     ;6.10     ;O9III+B1.5V          
189 ;HD 24421                           ;PM*;03 55 37.0794405144 +52 13 36.554359368;-119.879 108.832    ;25.2784   ;-33.60     ;-0.000112   ;-33.60     ;9.036    ;7.30     ;     ~   ;6.5      ;     ~   ;F8VmF1               
190 ;* lam Per                          ;*  ;04 06 35.0425894267 +50 21 04.541423730;-13.232 -36.319     ;7.5259    ;6.1        ;0.000020    ;6.10       ;4.27     ;4.31     ;4.29     ;4.21     ;4.19     ;A0IVn                
191 ;* mu. Per                          ;SB*;04 14 53.8635146524 +48 24 33.590334394;  6.538 -16.889     ;3.9395    ;26.46      ;0.000088    ;26.46      ;5.75     ;5.12     ;4.16     ;3.38     ;2.83     ;G0Ib                 
192 ;HD 28005                           ;PM*;04 27 24.7042375981 +46 51 11.353739807;81.452 -302.287     ;33.1264   ;34.796     ;0.000116    ;34.80      ;     ~   ;     ~   ;     ~   ;6.3      ;     ~   ;G0                   
193 ;HD 181096                          ;PM*;19 16 51.3860558136 +46 59 56.774556420;-10.222 292.412     ;23.8173   ;-44.530    ;-0.000149   ;-44.53     ;     ~   ;6.44     ;     ~   ;5.7      ;     ~   ;F6IV:                
194 ;* tet Cyg                          ;PM*;19 36 26.5330717650 +50 13 15.965003998; -5.854 263.660     ;54.2702   ;-27.581    ;-0.000092   ;-27.58     ;4.83     ;4.86     ;4.48     ;4.13     ;3.92     ;F3+V                 
195 ;* 16 Cyg B                         ;PM*;19 41 51.9726777456 +50 31 03.089030916;-134.482 -162.698   ;47.3302   ;-27.73     ;-0.000092   ;-27.73     ;7.07     ;6.86     ;6.20     ;5.76     ;5.42     ;G3V                  
196 ;* 16 Cyg A                         ;** ;19 41 48.9534996168 +50 31 30.219536784;-148.034 -159.030   ;47.3239   ;-27.61     ;-0.000092   ;-27.61     ;6.79     ;6.59     ;5.95     ;5.50     ;5.17     ;G1.5Vb               
197 ;HD 184960                          ;PM*;19 34 19.7892769104 +51 14 11.827409604;30.472 -188.570     ;39.3227   ;0.647      ;0.000002    ;0.65       ;     ~   ;6.21     ;     ~   ;5.4      ;     ~   ;F7V                  
198 ;* tet Cep                          ;SB*;20 29 34.9052664336 +62 59 38.797205460; 34.798 -13.904     ;23.481    ;-6.8       ;-0.000023   ;-6.80      ;4.58     ;4.42     ;4.22     ;4.05     ;3.96     ;A7III                
199 ;* eta Cep                          ;PM*;20 45 17.3751675120 +61 50 19.614231888; 85.993 818.451     ;69.5976   ;-87.407    ;-0.000292   ;-87.39     ;4.960    ;4.320    ;3.410    ;2.76     ;2.27     ;K0IV                 
